Transect,Code,Elevation,Length,Abundance,Diversity (H’),Richness,Mean number of individuals,Total number of individuals
Las Sabinas,SA,2200,251,3.31 ± 0.84,2.38 ± 0.09,41,72.2 ± 14.26,361
Los Praillos,PR,1900,333,4.89 ± 0.52,3.06 ± 0.09,64,160.6 ± 26.1,803
La Fabriquilla,FA,1000,353,2.64 ± 0.24,2.36 ± 0.09,43,84.4 ± 18.29,422
Barranco de San Juan,BSJ,1300,395,5.22 ± 0.87,2.94 ± 0.08,62,220.6 ± 48.11,1103
Las Catifas,CA,1600,413,4.1 ± 0.44,2.84 ± 0.06,57,186.4 ± 25.49,932
Cauchiles,CAU,2800,500,1.48 ± 0.51,1.22 ± 0.29,15,36.6 ± 5.21,183
BMS_Laguna,LP,737,538,3.86 ± 0.39,1.04 ± 0.2,23,200.8 ± 30.67,1004
Carihuela,CAR,3100,602,0.49 ± 0.14,1.13 ± 0.21,8,8.2 ± 2.13,41
Hoya Mora,HM,2528,2251,2.7 ± 0.36,2.44 ± 0.05,37,422.2 ± 67.53,2111
Matas verdes,MV,1894,2252,4.54 ± 0.46,3.03 ± 0.11,77,1085.4 ± 159.64,5427
Loma papeles bajo,PB,2195,2272,1.71 ± 0.14,2.52 ± 0.08,53,385.8 ± 53.55,1929
Purche,PU,1493,2296,5.03 ± 0.94,2.92 ± 0.07,73,1128.6 ± 264.87,5643
BMS_Pitres,PI,1278,2315,4.31 ± 0.47,2.84 ± 0.05,61,968.4 ± 119.7,4842
Robledal dilar,DI,1679,2456,5.41 ± 0.57,3.1 ± 0.1,80,1368.6 ± 192.57,6843
Laguna Seca,LS,2284,2479,2.63 ± 0.3,1.87 ± 0.15,34,629.6 ± 86.49,3148
Papeles alto,PA,2466,2487,2.41 ± 0.44,2.29 ± 0.11,39,548.8 ± 98.1,2744
Campo Otero,CO,2320,2527,4.19 ± 0.33,2.68 ± 0.05,63,965 ± 77.02,4825
BMS_Turbera,TP,754,2670,1.09 ± 0.21,1.65 ± 0.14,37,310.8 ± 63.51,1554
Aguas Verdes,AV,3122,2750,0.44 ± 0.04,1.16 ± 0.19,14,76.6 ± 15.74,383
BMS_ DurcaL,DU,1967,3270,9.44 ± 1.37,3.04 ± 0.07,61,3113.4 ± 436.2,15567
